,TCGA-05-4244-01
0,-0.1480132112414857
1,-0.0353
2,-0.0307
3,-2.8954
4,1.7786
5,-0.1480132112414857
6,2.3132
7,0.2043
8,-0.1480132112414857
9,-0.1480132112414857
10,-2.5288
11,3.691
12,-0.1237
13,-4.440199999999999
14,-2.833
15,-0.1480132112414857
16,-0.1480132112414857
17,-4.0123
18,-0.7568
19,1.5277
20,3.3721
21,1.3947
22,2.7268
23,-0.1480132112414857
24,-3.005
25,-0.4061
26,4.1111
27,-3.7386
28,-0.3052
29,-2.6114
30,-4.6052
31,0.6483
32,2.5831
33,-5.799999999999999
34,-0.9868
35,-2.9598
36,-1.6669
37,-0.1480132112414857
38,1.7421
39,1.9088
40,-1.5804
41,-4.8461
42,-0.9714
43,-0.1480132112414857
44,-2.5153
45,-2.925
46,1.8863
47,0.2988999999999999
48,0.4872000000000001
49,-2.3889
50,1.959
51,1.8816
52,3.0791
53,2.2541
54,-2.8379
55,-1.7361
56,4.713700000000001
57,-5.805399999999999
58,0.6496
59,-1.9062
60,-0.4911
61,-2.978
62,6.305100000000001
63,1.0505
64,2.1531
65,1.5017
66,-2.5644
67,8.4012
68,-1.3024
69,-3.2951
70,5.3354
71,-5.570499999999999
72,-2.6616
73,2.887
74,-1.9487
75,-2.7595
76,-0.4589
77,-1.9837
78,2.3113
79,-0.01
80,-0.4014
81,6.8039000000000005
82,2.1275
83,-0.8568
84,2.575
85,-4.1951
86,-0.5869
87,-0.2989
88,6.2783
89,-3.2663
90,0.8540999999999999
91,-1.3443
92,1.5474000000000003
93,1.4857
94,-2.7541
95,-3.2993
96,0.1236999999999999
97,-1.4852
98,1.3461999999999998
99,-0.2879
100,0.3047999999999999
101,0.7589999999999999
102,3.0661
103,0.9495
104,-3.4324
105,-2.3753
106,1.9896
107,0.5773000000000001
108,-1.442
109,-0.1558
110,3.4861000000000004
111,0.1471
112,0.2726999999999999
113,-1.4502
114,-1.2324
115,-1.8977
116,1.5828
117,4.7918
118,-1.9885
119,1.2104
120,0.6872
121,-1.6697
122,-1.7448
123,-2.9306
124,0.8606
125,-1.7863000000000002
126,-1.8976
127,-4.8291
128,-1.9591
129,1.6313
130,-3.9059
131,-1.459
132,-4.308299999999999
133,1.1906
134,-1.2341000000000002
135,-2.6682
136,-1.797
137,0.8199999999999998
138,-2.2161
139,4.3056
140,-0.1564
141,-0.1328
142,0.2176
143,-2.1267000000000005
144,1.4825
145,0.1257
146,-2.0683
147,1.6786
148,-10.7785
149,-0.3332
150,1.986
151,3.0263
152,1.4329
153,0.9561
154,-0.2814
155,-2.1778000000000004
156,-0.6755
157,-7.7691
158,0.1467999999999999
159,4.5001
160,0.9141
161,-2.4339
162,3.2801
163,0.0338999999999999
164,-0.9452
165,1.9245
166,2.5708
167,-0.6884
168,-5.0855
169,2.1315
170,-5.421799999999999
171,1.9097
172,-2.7676
173,-5.4817
174,-2.3523
175,-0.7605
176,-1.8234
177,6.126100000000001
178,0.7701
179,4.259400000000001
180,7.255000000000001
181,2.0464
182,2.9325
183,-2.5418
184,2.6864
185,-3.514
186,0.3474999999999999
187,-0.7935
188,-0.9656
189,1.6698
190,-0.0993999999999999
191,-1.3653
192,0.4965999999999999
193,-0.8884
194,-0.6854
195,0.8786
196,-3.3881
197,-5.116
198,1.1818
199,0.1099999999999999
200,-1.7572
201,2.4082
202,-0.3208
203,-2.1681
204,-4.1885
205,-1.6157
206,0.3639
207,3.4112
208,-1.7149
209,-0.8869
210,-0.2122
211,-4.1088
212,-3.5275
213,-1.7039
214,-1.5819
215,1.5678
216,6.574900000000001
217,6.693299999999999
218,0.3578
219,-1.9212
220,-1.8506
221,-2.7221
222,-0.1480132112414857
223,-1.7735
224,-6.539999999999999
225,0.3936999999999999
226,-7.724399999999999
227,-0.4741000000000001
228,-2.1023
229,0.5723000000000001
230,4.0199
231,-2.2282
232,-0.1613
233,-3.3197000000000005
234,3.2745999999999995
235,-1.62
236,-5.0109
237,-2.7011
238,-3.081
239,-0.1480132112414857
240,-2.0028
241,-3.908
242,-1.5584
243,-3.1633
244,0.2968999999999999
245,-4.0086
246,2.6626
247,2.4759
248,1.1891
249,0.5085000000000001
250,-2.6799
251,8.0858
252,1.165
253,1.4118
254,-7.0296
255,-2.5023
256,3.4807
257,5.9716000000000005
258,3.7819
259,-4.001
260,1.5114
261,1.3067
262,1.9857
263,2.2462
264,0.9111
265,-3.5317
266,1.2951
267,-3.6979
268,-1.3444
269,-1.7301
270,-2.281
271,3.7303
272,2.3068
273,8.6237
274,-0.2658
275,-0.1480132112414857
276,-0.4744
277,-0.3451
278,0.3957999999999999
279,-2.1744
280,-5.662599999999999
281,3.1855999999999995
282,-1.7636
283,1.6687
284,-1.7015
285,-2.0488
286,3.9929
287,-2.3145
288,-0.1480132112414857
289,-0.1480132112414857
290,-0.7171999999999998
291,-0.1480132112414857
292,4.393700000000001
293,-0.0651999999999999
294,0.5204
295,-1.6385
296,1.3132
297,2.334
298,3.6534
299,-3.1371
300,0.3308999999999999
301,-1.2439
302,0.1098
303,-1.2893
304,-3.7959
305,-1.5527
306,-1.9378
307,0.7175
308,-0.5112
309,-0.6237
310,-1.4192
311,-0.9129
312,-7.625199999999999
313,-1.0033
314,-1.8956
315,-2.3868
316,-4.9354
317,-1.7954
318,4.9093
319,1.1771
320,1.2905999999999995
321,4.2836
322,-3.8003999999999993
323,-2.9159
324,1.2161
325,1.0767
326,-1.6428
327,3.5271
328,0.2867999999999999
329,-0.0102
330,1.5913999999999997
331,3.4872000000000005
332,-0.1086
333,0.6304
334,-1.6705
335,0.6362
336,-2.566
337,-1.7426
338,3.0489
339,-0.9569
340,-3.2678
341,-1.3855
342,-2.1043000000000003
343,-1.7857
344,-3.6017
345,-2.0441
346,-1.0182
347,-5.1813
348,-6.769
349,-2.9438
350,-2.0899
351,-2.8199
352,0.1782999999999999
353,-0.6998
354,-1.6035
355,-0.3343
356,-0.1480132112414857
357,-1.0888
358,3.5335
359,-2.219
360,2.7952000000000004
361,0.2248
362,2.8242
363,2.1178
364,-0.4114
365,0.1287999999999999
366,4.305300000000001
367,-0.8759
368,1.6862
369,0.5492000000000001
370,-1.1641
371,-9.6088
372,0.2963
373,-0.3431
374,-3.1162
375,-1.3862
376,-2.9551
377,1.8411
378,0.2799
379,-1.7111
380,-3.11
381,-3.8097
382,-0.3375
383,-0.9114
384,-1.5808
385,2.0895
386,1.2166
387,9.0116
388,1.2801
389,-1.9833
390,0.0357
391,1.1973
392,4.1587
393,-0.8058
394,-3.4443
395,0.6059999999999999
396,-0.451
397,-0.8601
398,-5.2148
399,-7.872499999999999
400,1.2693
401,0.1536999999999999
402,-1.9294
403,-3.1408
404,-0.6134
405,-2.3666
406,3.6561
407,-2.3025
408,0.3071999999999999
409,-1.9054
410,1.8121
411,-1.2425000000000002
412,-2.5572
413,1.1445
414,2.0191
415,1.4774
416,0.8536999999999999
417,1.3138
418,-3.2079
419,0.9066
420,0.3369
421,-1.1521
422,0.8658000000000001
423,-8.6077
424,-0.7191
425,-0.3959
426,3.6375
427,5.1875
428,-1.0306
429,3.5241
430,0.3746
431,0.2151
432,1.438
433,-5.009
434,-0.0297
435,1.7576
436,-0.3013
437,0.7384
438,1.0044
439,1.6687
440,-3.5672
441,-0.9983
442,-0.6854
443,3.6179
444,-3.8906
445,-5.275
446,-4.0312
447,-0.9002
448,-2.4665
449,-2.08
450,-2.4445
451,2.6828
452,2.9761
453,3.9561000000000006
454,3.9157000000000006
455,0.8714
456,1.0758
457,-0.7885
458,2.0382
459,-3.5267
460,-0.4179
461,-0.9843
462,1.4642999999999995
463,2.541
464,-0.1353
465,-1.6571
466,-2.2975
467,0.9226
468,-1.4938
469,-0.4445
470,5.0943000000000005
471,0.1150999999999999
472,2.139
473,1.089
474,1.6785
475,-0.7158
