Hugo_Symbol,expression
,-0.1480132112414857
,-0.0353
UBE2Q2P2,-0.0307
HMGB1P1,-2.8954
,1.7786
,-0.1480132112414857
,2.3132
RNU12-2P,0.2043
SSX9P,-0.1480132112414857
,-0.1480132112414857
EZHIP,-2.5288
EFCAB8,3.691
SRP14P1,-0.1237
,-4.440199999999999
TRIM75P,-2.833
SPATA31B1P,-0.1480132112414857
REXO1L6P,-0.1480132112414857
SDR16C6P,-4.0123
,-0.7568
,1.5277
,3.3721
,1.3947
HSPB1P1,2.7268
PPBPP1,-0.1480132112414857
,-3.005
ANKRD20A20P,-0.4061
,4.1111
GTPBP6,-3.7386
EFCAB12,-0.3052
A1BG,-2.6114
A1CF,-4.6052
A2BP1,0.6483
A2LD1,2.5831
A2M,-5.799999999999999
A2ML1,-0.9868
A4GALT,-2.9598
A4GNT,-1.6669
AAA1,-0.1480132112414857
AAAS,1.7421
AACS,1.9088
AACSL,-1.5804
AADAC,-4.8461
AADACL2,-0.9714
AADACL3,-0.1480132112414857
AADACL4,-2.5153
AADAT,-2.925
AAGAB,1.8863
AAK1,0.2988999999999999
AAMP,0.4872000000000001
AANAT,-2.3889
AARS,1.959
AARS2,1.8816
AARSD1,3.0791
AASDH,2.2541
AASDHPPT,-2.8379
AASS,-1.7361
AATF,4.713700000000001
AATK,-5.805399999999999
ABAT,0.6496
ABCA10,-1.9062
ABCA1,-0.4911
ABCA11P,-2.978
ABCA12,6.305100000000001
ABCA13,1.0505
ABCA17P,2.1531
ABCA2,1.5017
ABCA3,-2.5644
ABCA4,8.4012
ABCA5,-1.3024
ABCA6,-3.2951
ABCA7,5.3354
ABCA8,-5.570499999999999
ABCA9,-2.6616
ABCB10,2.887
ABCB11,-1.9487
ABCB1,-2.7595
ABCB4,-0.4589
ABCB5,-1.9837
ABCB6,2.3113
ABCB7,-0.01
ABCB8,-0.4014
ABCB9,6.8039000000000005
ABCC10,2.1275
ABCC11,-0.8568
ABCC12,2.575
ABCC13,-4.1951
ABCC1,-0.5869
ABCC2,-0.2989
ABCC3,6.2783
ABCC4,-3.2663
ABCC5,0.8540999999999999
ABCC6,-1.3443
ABCC6P1,1.5474000000000003
ABCC6P2,1.4857
ABCC8,-2.7541
ABCC9,-3.2993
ABCD1,0.1236999999999999
ABCD2,-1.4852
ABCD3,1.3461999999999998
ABCD4,-0.2879
ABCE1,0.3047999999999999
ABCF1,0.7589999999999999
ABCF2,3.0661
ABCF3,0.9495
ABCG1,-3.4324
ABCG2,-2.3753
ABCG4,1.9896
ABCG5,0.5773000000000001
